"id","name","description"
7,Нержавеющая сталь AISI 321,
8,Нержавеющая сталь AISI 316T,
9,Нержавеющая сталь AISI 316,
10,Нержавеющая сталь AISI 304,
1,Сталь,
2,Чугун,
3,Нержавеющая сталь AISI 347,
